year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
2022,6,Japan,X1,SUV,Hybrid,106139,486442,38,0.97,6.29,1.2,1,407
2024,10,China,7 Series,SUV,Electric,69980,391524,219,0.97,6.29,1.2,3,914
2018,8,India,i7,Electric,Diesel,57504,304043,21,0.97,6.29,1.2,3,387
2024,11,Australia,i4,SUV,Diesel,89970,168910,342,0.97,6.29,1.2,5,798
2022,2,UK,3 Series,SUV,Hybrid,51766,146055,306,0.97,6.29,1.2,1,1027
2024,2,Canada,X7,Sedan,Petrol,46695,438333,139,0.97,6.29,1.2,10,314
2016,12,Japan,i7,Electric,Electric,52796,255782,302,0.97,6.29,1.2,6,953
2019,4,China,i4,Electric,Electric,77543,446659,182,0.97,6.29,1.2,7,797
2023,11,China,i4,Electric,Petrol,49559,333539,217,0.97,6.29,1.2,10,668
2018,3,Australia,X5,SUV,Petrol,68139,322869,33,0.97,6.29,1.2,3,459
2020,4,Australia,X1,Electric,Petrol,43802,83461,108,0.97,6.29,1.2,4,637
2015,12,Germany,i4,Electric,Hybrid,108843,308072,365,0.97,6.29,1.2,10,822
2023,7,Germany,7 Series,Sedan,Hybrid,75205,91115,148,0.97,6.29,1.2,10,309
2015,11,India,i7,Sedan,Electric,69159,160084,323,0.97,6.29,1.2,10,994
2019,1,India,5 Series,Sedan,Hybrid,46516,395876,183,0.97,6.29,1.2,10,496
2018,6,USA,5 Series,SUV,Diesel,85492,391701,38,0.97,6.29,1.2,10,354
2017,3,India,X7,Electric,Electric,64086,383404,152,0.97,6.29,1.2,3,381
2020,11,France,iX,Sedan,Hybrid,65480,209762,325,0.97,6.29,1.2,1,984
2016,10,Australia,X1,Sedan,Petrol,87091,313551,360,0.97,6.29,1.2,8,829
2017,7,Canada,iX,Sedan,Diesel,82766,123568,51,0.97,6.29,1.2,10,106
2019,10,France,i4,Electric,Petrol,73737,108560,308,0.97,6.29,1.2,10,720
2023,2,UK,i7,Electric,Electric,44265,490556,217,0.97,6.29,1.2,2,835
2016,2,China,X7,Electric,Petrol,105990,198866,339,0.97,6.29,1.2,1,1024
2024,4,India,X3,SUV,Hybrid,50386,200953,201,0.97,6.29,1.2,8,815
2022,1,China,i4,SUV,Hybrid,72425,267364,169,0.97,6.29,1.2,7,719
2016,3,Japan,X1,Sedan,Electric,78254,286770,73,0.97,6.29,1.2,7,377
2019,9,USA,5 Series,Electric,Petrol,88634,276024,252,0.97,6.29,1.2,4,663
2021,7,Japan,X5,Sedan,Electric,82662,230775,267,0.97,6.29,1.2,9,641
2022,7,USA,i7,Electric,Petrol,110452,487570,161,0.97,6.29,1.2,6,415
2015,11,Germany,3 Series,Electric,Diesel,45143,141288,224,0.97,6.29,1.2,2,651
2020,4,China,iX,Electric,Hybrid,50581,431164,331,0.97,6.29,1.2,1,877
2015,2,USA,X7,SUV,Electric,102443,411445,175,0.97,6.29,1.2,1,533
2016,4,Brazil,iX,SUV,Diesel,64424,299836,40,0.97,6.29,1.2,9,456
2015,6,France,i7,Electric,Diesel,76984,64390,380,0.97,6.29,1.2,4,814
2019,11,USA,iX,Sedan,Electric,76505,268547,241,0.97,6.29,1.2,5,557
2024,11,USA,i7,Electric,Electric,97699,77307,291,0.97,6.29,1.2,3,730
2023,3,France,iX,Electric,Diesel,61957,277436,38,0.97,6.29,1.2,4,550
2020,1,China,7 Series,Sedan,Petrol,60464,275121,204,0.97,6.29,1.2,8,842
2015,12,China,X3,Electric,Diesel,58649,301063,343,0.97,6.29,1.2,4,1071
2015,8,France,i4,Sedan,Electric,77065,74502,265,0.97,6.29,1.2,9,929
2016,12,Japan,i4,SUV,Diesel,69758,72486,290,0.97,6.29,1.2,9,977
2023,5,Brazil,X1,SUV,Petrol,40596,423957,313,0.97,6.29,1.2,6,989
2017,5,Canada,3 Series,Sedan,Hybrid,51374,219330,330,0.97,6.29,1.2,2,1096
2015,11,UK,3 Series,SUV,Hybrid,38775,238788,332,0.97,6.29,1.2,10,835
2019,4,Brazil,X1,SUV,Diesel,62388,278300,355,0.97,6.29,1.2,7,886
2021,6,China,X5,Sedan,Petrol,56029,153920,303,0.97,6.29,1.2,9,682
2020,3,Canada,i4,SUV,Hybrid,118981,262566,96,0.97,6.29,1.2,6,622
2015,9,Germany,X5,Electric,Diesel,88639,394912,158,0.97,6.29,1.2,3,482
2019,5,India,i7,Electric,Diesel,49645,453964,258,0.97,6.29,1.2,7,739
2019,3,USA,i7,Sedan,Petrol,66105,112785,330,0.97,6.29,1.2,5,1062
2020,11,France,5 Series,SUV,Electric,48668,126050,292,0.97,6.29,1.2,1,995
2017,1,France,iX,Electric,Diesel,50960,72738,371,0.97,6.29,1.2,3,759
2019,10,USA,3 Series,Electric,Electric,46357,124231,388,0.97,6.29,1.2,5,895
2021,12,India,5 Series,SUV,Electric,99604,123606,207,0.97,6.29,1.2,7,754
2019,6,UK,X3,SUV,Hybrid,86796,353806,53,0.97,6.29,1.2,3,203
2019,2,India,X1,Electric,Electric,50804,430457,365,0.97,6.29,1.2,6,1193
2019,3,Canada,X1,Electric,Petrol,49626,277369,37,0.97,6.29,1.2,5,226
2024,1,India,i7,Sedan,Hybrid,63132,327267,26,0.97,6.29,1.2,1,267
2024,9,Canada,i4,Sedan,Hybrid,42951,206688,136,0.97,6.29,1.2,10,475
2017,8,India,X5,Electric,Hybrid,41449,323326,388,0.97,6.29,1.2,6,1119
2015,12,UK,3 Series,Sedan,Diesel,54065,402513,177,0.97,6.29,1.2,8,713
2019,2,UK,5 Series,Electric,Diesel,44130,212403,253,0.97,6.29,1.2,1,744
2023,12,China,X5,Electric,Electric,97287,227170,396,0.97,6.29,1.2,2,963
2015,11,USA,5 Series,Sedan,Hybrid,86702,76128,85,0.97,6.29,1.2,4,304
2017,8,UK,iX,Sedan,Hybrid,71993,81556,240,0.97,6.29,1.2,2,766
2018,12,Canada,X3,SUV,Petrol,66875,308470,213,0.97,6.29,1.2,9,434
2015,9,UK,X3,SUV,Electric,41054,202948,257,0.97,6.29,1.2,10,905
2015,1,China,X5,SUV,Petrol,83517,190021,311,0.97,6.29,1.2,8,662
2022,5,France,X5,Electric,Electric,111368,101962,223,0.97,6.29,1.2,8,513
2016,8,Canada,X5,Sedan,Electric,64670,140054,224,0.97,6.29,1.2,4,800
2022,11,China,5 Series,Electric,Diesel,84112,252278,167,0.97,6.29,1.2,5,679
2021,2,Japan,iX,Sedan,Diesel,63307,74099,78,0.97,6.29,1.2,4,221
2024,4,Japan,7 Series,Electric,Petrol,102087,285943,94,0.97,6.29,1.2,9,256
2024,7,Germany,X5,SUV,Electric,82922,455932,276,0.97,6.29,1.2,2,853
2016,3,India,i4,SUV,Hybrid,98080,233683,78,0.97,6.29,1.2,8,317
2020,12,USA,3 Series,SUV,Diesel,114335,219957,108,0.97,6.29,1.2,2,461
2020,5,Australia,3 Series,Electric,Hybrid,61312,365288,356,0.97,6.29,1.2,1,964
2017,8,Brazil,5 Series,Sedan,Petrol,101985,246292,225,0.97,6.29,1.2,10,453
2016,12,China,X5,Sedan,Diesel,92608,57837,170,0.97,6.29,1.2,3,622
2015,10,France,i7,SUV,Diesel,75277,230427,103,0.97,6.29,1.2,9,275
2020,3,Brazil,X1,SUV,Electric,66551,228371,183,0.97,6.29,1.2,3,400
2019,4,France,7 Series,SUV,Petrol,91597,462375,174,0.97,6.29,1.2,9,769
2023,9,Brazil,i4,SUV,Electric,80212,437356,124,0.97,6.29,1.2,7,519
2015,7,China,iX,Sedan,Diesel,44637,428824,229,0.97,6.29,1.2,10,861
2021,1,Australia,i7,Electric,Petrol,78258,298003,40,0.97,6.29,1.2,1,505
2019,12,Brazil,X3,Electric,Diesel,70693,418946,20,0.97,6.29,1.2,10,429
2019,4,China,i7,Electric,Petrol,44824,152413,352,0.97,6.29,1.2,5,1007
2016,4,UK,5 Series,Electric,Diesel,61950,101012,386,0.97,6.29,1.2,9,931
2017,9,Australia,7 Series,SUV,Hybrid,58488,180193,139,0.97,6.29,1.2,3,426
2021,6,Canada,X7,SUV,Hybrid,35215,268168,114,0.97,6.29,1.2,9,288
2020,9,France,X7,SUV,Electric,46523,198178,36,0.97,6.29,1.2,5,298
2016,12,Japan,X5,Electric,Hybrid,110900,108123,236,0.97,6.29,1.2,9,868
2020,6,India,X5,SUV,Diesel,103689,161825,11,0.97,6.29,1.2,10,92
2016,6,Japan,5 Series,SUV,Diesel,58834,58720,368,0.97,6.29,1.2,6,1006
2016,5,Australia,iX,Sedan,Hybrid,69474,218733,110,0.97,6.29,1.2,9,548
2016,5,Canada,X5,Sedan,Electric,78066,296103,30,0.97,6.29,1.2,7,187
2017,2,France,X1,SUV,Hybrid,45400,274970,67,0.97,6.29,1.2,7,286
2016,8,Canada,7 Series,Sedan,Petrol,45345,274866,398,0.97,6.29,1.2,8,916
2018,8,Brazil,5 Series,Sedan,Petrol,68896,464336,189,0.97,6.29,1.2,7,708
2023,11,France,3 Series,SUV,Petrol,63899,200862,350,0.97,6.29,1.2,9,1021
2020,1,Brazil,X3,SUV,Hybrid,63229,108655,358,0.97,6.29,1.2,9,749
2015,8,China,5 Series,SUV,Hybrid,40583,240715,29,0.97,6.29,1.2,6,417
2022,5,Australia,5 Series,SUV,Hybrid,39897,143448,264,0.97,6.29,1.2,7,631
2021,2,China,X7,Electric,Petrol,106537,228446,326,0.97,6.29,1.2,2,928
2024,2,Germany,i4,Electric,Electric,39567,223979,47,0.97,6.29,1.2,9,123
2017,6,Canada,iX,SUV,Diesel,109807,231143,157,0.97,6.29,1.2,1,380
2015,11,Brazil,i4,Sedan,Hybrid,112239,170507,34,0.97,6.29,1.2,1,446
2019,9,UK,X1,SUV,Electric,48329,346956,395,0.97,6.29,1.2,3,1088
2018,1,China,3 Series,SUV,Diesel,106792,361714,130,0.97,6.29,1.2,6,496
2024,12,Germany,X7,Sedan,Diesel,35228,363045,35,0.97,6.29,1.2,5,171
2022,6,USA,3 Series,Electric,Diesel,117214,110186,178,0.97,6.29,1.2,2,511
2015,9,Japan,X1,SUV,Electric,72052,172066,332,0.97,6.29,1.2,9,908
2024,8,France,i4,SUV,Electric,92769,440508,234,0.97,6.29,1.2,10,778
2015,11,Germany,5 Series,Electric,Petrol,81032,231323,10,0.97,6.29,1.2,4,247
2018,6,Australia,X5,Electric,Electric,68686,246243,316,0.97,6.29,1.2,4,834
2022,3,China,X5,Sedan,Electric,111981,86160,270,0.97,6.29,1.2,5,573
2019,8,Australia,i7,Electric,Electric,98261,69156,22,0.97,6.29,1.2,8,155
2016,9,Japan,X3,Electric,Diesel,37809,126208,57,0.97,6.29,1.2,10,529
2020,1,UK,iX,Electric,Hybrid,76785,199001,322,0.97,6.29,1.2,4,744
2019,12,Canada,X1,Sedan,Petrol,71547,281226,380,0.97,6.29,1.2,5,1087
2016,9,Canada,X3,Electric,Hybrid,77818,497421,300,0.97,6.29,1.2,4,684
2017,6,Australia,iX,Electric,Hybrid,106927,291766,341,0.97,6.29,1.2,6,933
2023,6,Brazil,X3,Sedan,Electric,100681,245413,103,0.97,6.29,1.2,3,235
2021,12,UK,i4,Electric,Petrol,114465,407521,270,0.97,6.29,1.2,8,553
2021,4,Canada,iX,Electric,Hybrid,72333,355007,287,0.97,6.29,1.2,6,644
2020,1,UK,i4,Sedan,Hybrid,51576,262909,368,0.97,6.29,1.2,10,1073
2022,10,Germany,5 Series,SUV,Petrol,74405,115439,214,0.97,6.29,1.2,5,597
2018,8,UK,X7,Sedan,Electric,108779,188266,194,0.97,6.29,1.2,2,827
2022,2,India,i4,Electric,Hybrid,66601,252459,184,0.97,6.29,1.2,10,425
2018,12,Japan,X5,Electric,Diesel,102946,171361,396,0.97,6.29,1.2,10,869
2022,1,Canada,X3,Electric,Hybrid,102356,262986,389,0.97,6.29,1.2,7,1067
2023,2,UK,i7,Sedan,Diesel,87116,247286,318,0.97,6.29,1.2,2,816
2017,1,Australia,7 Series,Electric,Electric,97894,408320,78,0.97,6.29,1.2,1,457
2017,1,USA,iX,Electric,Hybrid,69635,79777,113,0.97,6.29,1.2,7,533
2016,9,India,X1,Sedan,Petrol,42465,306427,255,0.97,6.29,1.2,5,775
2024,1,India,i7,SUV,Petrol,91754,207255,170,0.97,6.29,1.2,1,683
2017,4,Brazil,X5,SUV,Hybrid,73871,470661,209,0.97,6.29,1.2,4,525
2017,10,UK,i4,Electric,Electric,97874,248110,225,0.97,6.29,1.2,4,482
2019,6,Brazil,X7,Sedan,Electric,112733,399345,221,0.97,6.29,1.2,10,861
2019,7,Brazil,5 Series,Electric,Petrol,64511,459414,25,0.97,6.29,1.2,7,193
2016,2,USA,7 Series,Sedan,Hybrid,115960,464627,381,0.97,6.29,1.2,9,805
2024,6,Germany,3 Series,Sedan,Electric,83821,231649,341,0.97,6.29,1.2,2,883
2020,7,UK,i7,SUV,Petrol,100776,328011,214,0.97,6.29,1.2,1,714
2019,10,China,X7,SUV,Diesel,105167,112501,374,0.97,6.29,1.2,2,824
2020,10,Canada,3 Series,Sedan,Hybrid,110135,195338,48,0.97,6.29,1.2,7,347
2015,2,Brazil,7 Series,Electric,Diesel,79462,351566,98,0.97,6.29,1.2,10,298
2019,2,Japan,X1,SUV,Diesel,96382,216280,265,0.97,6.29,1.2,6,596
2023,10,France,X1,Electric,Electric,67574,171544,263,0.97,6.29,1.2,4,713
2024,7,Japan,X3,SUV,Electric,76910,474429,225,0.97,6.29,1.2,1,686
2016,12,USA,7 Series,SUV,Electric,108531,188439,377,0.97,6.29,1.2,1,785
2015,1,USA,7 Series,Electric,Hybrid,60186,305230,312,0.97,6.29,1.2,5,922
2024,8,Australia,3 Series,SUV,Diesel,57813,85362,181,0.97,6.29,1.2,1,514
2023,11,Germany,X7,SUV,Hybrid,113812,300449,146,0.97,6.29,1.2,7,570
2024,3,Canada,iX,Electric,Electric,113282,363732,393,0.97,6.29,1.2,1,1129
2023,11,Brazil,3 Series,SUV,Diesel,53557,219357,187,0.97,6.29,1.2,1,599
2023,6,Japan,5 Series,SUV,Hybrid,63060,176683,86,0.97,6.29,1.2,2,256
2020,9,France,X1,SUV,Hybrid,93866,306157,197,0.97,6.29,1.2,10,377
2022,6,USA,X1,Electric,Petrol,107104,255827,24,0.97,6.29,1.2,3,185
2015,9,USA,X3,Sedan,Hybrid,119577,252918,301,0.97,6.29,1.2,1,678
2024,7,Germany,5 Series,Electric,Electric,41080,348451,328,0.97,6.29,1.2,9,967
2018,9,France,X1,Sedan,Hybrid,48854,392424,334,0.97,6.29,1.2,10,966
2015,2,France,3 Series,SUV,Diesel,102695,463083,223,0.97,6.29,1.2,8,538
2022,12,Germany,5 Series,Sedan,Hybrid,62025,368667,217,0.97,6.29,1.2,5,880
2015,8,USA,3 Series,Electric,Petrol,87982,449594,178,0.97,6.29,1.2,2,495
2017,8,Canada,iX,Electric,Diesel,76081,265757,339,0.97,6.29,1.2,5,879
2018,2,UK,iX,SUV,Diesel,39368,157669,289,0.97,6.29,1.2,6,971
2022,12,UK,X1,Sedan,Petrol,62094,258030,314,0.97,6.29,1.2,1,1012
2020,4,Germany,X1,SUV,Electric,81040,208998,155,0.97,6.29,1.2,4,707
2024,11,France,X7,SUV,Diesel,101766,153215,272,0.97,6.29,1.2,9,753
2021,7,Brazil,iX,Electric,Electric,118053,148707,13,0.97,6.29,1.2,2,290
2022,11,Germany,i7,Sedan,Diesel,58991,456396,99,0.97,6.29,1.2,5,457
2016,4,Canada,i7,Sedan,Diesel,36301,142837,69,0.97,6.29,1.2,1,595
2024,4,Germany,X3,Sedan,Electric,63610,430214,320,0.97,6.29,1.2,4,1086
2022,6,India,iX,Sedan,Diesel,116463,480147,25,0.97,6.29,1.2,4,244
2017,10,Japan,3 Series,SUV,Electric,69678,467230,236,0.97,6.29,1.2,6,889
2021,6,France,3 Series,SUV,Petrol,59466,295847,38,0.97,6.29,1.2,10,415
2017,10,Australia,X5,Electric,Electric,115440,277544,160,0.97,6.29,1.2,9,527
2021,3,Australia,5 Series,SUV,Petrol,75875,392016,254,0.97,6.29,1.2,3,694
2016,9,France,i4,SUV,Diesel,61081,399880,279,0.97,6.29,1.2,9,848
2024,12,Canada,i7,Electric,Electric,59354,317614,88,0.97,6.29,1.2,6,426
2020,10,India,X1,Electric,Diesel,53300,277467,298,0.97,6.29,1.2,7,782
2017,11,India,X3,Electric,Electric,99384,196025,162,0.97,6.29,1.2,10,515
2017,2,USA,i4,SUV,Petrol,95892,285652,286,0.97,6.29,1.2,2,804
2023,6,Japan,7 Series,SUV,Petrol,70525,481723,288,0.97,6.29,1.2,10,869
2021,12,UK,X3,Electric,Electric,61532,405113,66,0.97,6.29,1.2,6,201
2019,7,China,7 Series,Electric,Petrol,41464,141493,195,0.97,6.29,1.2,6,524
2024,12,Canada,iX,Electric,Diesel,51562,318667,102,0.97,6.29,1.2,2,476
2021,9,China,7 Series,SUV,Diesel,90514,267995,285,0.97,6.29,1.2,2,884
2023,3,China,7 Series,SUV,Hybrid,109219,238262,167,0.97,6.29,1.2,2,430
2015,10,France,X7,Sedan,Petrol,67634,490977,284,0.97,6.29,1.2,10,849
2021,3,Australia,X7,SUV,Diesel,35060,343313,190,0.97,6.29,1.2,1,469
2020,7,Australia,X7,SUV,Electric,44269,95641,368,0.97,6.29,1.2,5,994
2024,4,UK,iX,SUV,Petrol,98143,204062,86,0.97,6.29,1.2,8,468
2023,8,France,i4,Electric,Diesel,58065,79661,160,0.97,6.29,1.2,2,786
2015,7,China,X3,SUV,Petrol,37895,194491,247,0.97,6.29,1.2,5,762
2018,5,Brazil,X3,Electric,Electric,115859,326601,298,0.97,6.29,1.2,8,640
2023,7,Australia,X1,Sedan,Diesel,47352,379744,240,0.97,6.29,1.2,10,640
2018,3,Canada,X7,Sedan,Hybrid,84737,153619,27,0.97,6.29,1.2,5,224
2024,12,Canada,iX,Electric,Hybrid,67016,388246,82,0.97,6.29,1.2,2,641
2017,2,USA,X1,Electric,Petrol,96304,83085,198,0.97,6.29,1.2,3,668
2023,6,Germany,5 Series,Electric,Electric,46962,147064,26,0.97,6.29,1.2,6,396
2016,2,Brazil,X1,SUV,Diesel,68302,231726,28,0.97,6.29,1.2,5,438
2018,3,Australia,i4,Sedan,Electric,39011,449346,228,0.97,6.29,1.2,4,951
2020,6,India,i7,Electric,Diesel,54782,155723,335,0.97,6.29,1.2,4,1066
2016,5,Australia,7 Series,SUV,Petrol,102691,183114,129,0.97,6.29,1.2,5,390
2022,8,USA,X7,Sedan,Diesel,74725,382278,110,0.97,6.29,1.2,2,303
2022,9,Canada,i7,SUV,Electric,44196,355126,43,0.97,6.29,1.2,9,247
2015,11,China,X1,Sedan,Electric,78459,377329,93,0.97,6.29,1.2,2,576
2017,3,India,iX,SUV,Petrol,113863,83477,205,0.97,6.29,1.2,10,693
2024,12,France,7 Series,Sedan,Electric,67769,164161,339,0.97,6.29,1.2,2,1095
2023,10,Japan,X3,Sedan,Diesel,59700,364853,211,0.97,6.29,1.2,10,482
2019,3,China,3 Series,SUV,Petrol,115356,209788,353,0.97,6.29,1.2,9,980
2020,3,Japan,7 Series,Electric,Diesel,111427,390281,350,0.97,6.29,1.2,3,1075
2018,6,Brazil,i4,Sedan,Electric,40269,348162,20,0.97,6.29,1.2,10,476
2024,1,Germany,i4,Electric,Petrol,78880,189133,356,0.97,6.29,1.2,7,1122
2016,7,India,X1,SUV,Diesel,43320,189681,227,0.97,6.29,1.2,4,641
2022,12,UK,5 Series,Electric,Electric,84589,347515,262,0.97,6.29,1.2,6,820
2020,1,India,i4,Electric,Electric,111276,291422,231,0.97,6.29,1.2,4,789
2019,5,Australia,i4,Electric,Hybrid,70897,395165,392,0.97,6.29,1.2,10,985
2023,10,Canada,iX,Electric,Electric,93565,464021,378,0.97,6.29,1.2,7,928
2015,8,Australia,X1,Electric,Diesel,65930,320001,89,0.97,6.29,1.2,1,301
2019,4,Australia,7 Series,Sedan,Petrol,92233,192692,16,0.97,6.29,1.2,3,70
2020,5,Brazil,5 Series,Sedan,Hybrid,117821,58177,281,0.97,6.29,1.2,3,654
2019,4,China,i7,Sedan,Electric,49380,473327,236,0.97,6.29,1.2,1,584
2020,12,UK,3 Series,SUV,Electric,111896,301842,25,0.97,6.29,1.2,6,396
2020,12,UK,X7,Electric,Electric,105934,400722,21,0.97,6.29,1.2,9,238
2021,4,Australia,X3,Sedan,Diesel,90830,139941,300,0.97,6.29,1.2,8,629
2018,12,Japan,i4,SUV,Hybrid,40529,308121,250,0.97,6.29,1.2,7,662
2022,8,Brazil,X1,Sedan,Diesel,117987,61826,30,0.97,6.29,1.2,10,80
2021,2,Australia,X7,Sedan,Hybrid,84178,194962,187,0.97,6.29,1.2,8,401
2023,1,Germany,X3,Electric,Petrol,41937,394572,237,0.97,6.29,1.2,6,588
2021,3,Canada,X3,SUV,Diesel,74886,176044,282,0.97,6.29,1.2,9,935
2017,9,China,i7,Electric,Diesel,84699,239103,297,0.97,6.29,1.2,3,796
2017,4,France,i7,Electric,Petrol,111396,387164,306,0.97,6.29,1.2,10,964
2022,10,Germany,i7,Sedan,Hybrid,60279,55495,143,0.97,6.29,1.2,10,312
2019,5,Japan,X5,Electric,Electric,73106,78481,292,0.97,6.29,1.2,9,977
2018,2,India,X5,SUV,Petrol,114737,192339,162,0.97,6.29,1.2,4,747
2022,4,India,X3,Electric,Electric,75544,430041,75,0.97,6.29,1.2,7,581
2020,2,Germany,i7,Electric,Electric,43997,286774,146,0.97,6.29,1.2,9,389
2016,2,Australia,iX,Electric,Petrol,75860,187815,101,0.97,6.29,1.2,2,330
2018,4,France,i4,Sedan,Hybrid,38225,498016,326,0.97,6.29,1.2,2,1118
2018,6,USA,X7,SUV,Electric,94470,153475,268,0.97,6.29,1.2,9,733
2020,7,USA,X7,Sedan,Petrol,98656,229845,112,0.97,6.29,1.2,3,479
2020,10,Japan,X5,Sedan,Diesel,86880,369186,64,0.97,6.29,1.2,9,194
2015,3,Australia,X3,Sedan,Diesel,96078,99476,266,0.97,6.29,1.2,5,637
2022,3,UK,X1,Sedan,Diesel,111290,273177,110,0.97,6.29,1.2,6,277
2020,10,UK,7 Series,Sedan,Petrol,91633,340696,207,0.97,6.29,1.2,2,502
2017,6,China,7 Series,SUV,Diesel,61655,246314,310,0.97,6.29,1.2,8,1066
2023,12,France,X5,Electric,Electric,78601,488988,235,0.97,6.29,1.2,9,810
2016,3,France,X1,Sedan,Diesel,38114,486946,246,0.97,6.29,1.2,2,968
2022,2,India,X5,Sedan,Diesel,61502,210020,35,0.97,6.29,1.2,6,270
2024,8,Brazil,7 Series,SUV,Electric,84768,257383,130,0.97,6.29,1.2,6,451
2017,5,Japan,X1,SUV,Diesel,83128,119093,191,0.97,6.29,1.2,8,512
2019,1,USA,i7,Electric,Electric,55028,119123,208,0.97,6.29,1.2,10,685
2020,3,Japan,X3,SUV,Diesel,90565,66535,311,0.97,6.29,1.2,5,1051
2024,10,UK,X7,Electric,Electric,118123,378634,264,0.97,6.29,1.2,9,912
2020,8,UK,iX,Sedan,Diesel,70333,96562,131,0.97,6.29,1.2,1,376
2018,4,Germany,5 Series,Sedan,Electric,38174,431186,40,0.97,6.29,1.2,9,420
2017,7,China,X3,Electric,Petrol,70398,306323,324,0.97,6.29,1.2,10,951
2018,10,France,i7,SUV,Electric,70929,401224,294,0.97,6.29,1.2,7,869
2015,12,Canada,7 Series,Electric,Diesel,39321,308916,115,0.97,6.29,1.2,4,367
2018,2,Japan,i7,SUV,Diesel,90421,239607,233,0.97,6.29,1.2,3,591
2015,7,UK,X5,Sedan,Hybrid,107635,280063,282,0.97,6.29,1.2,10,662
2015,5,Brazil,X1,SUV,Electric,58760,91269,241,0.97,6.29,1.2,6,916
2024,5,India,X7,Electric,Petrol,46360,130674,265,0.97,6.29,1.2,1,695
2020,6,USA,i4,Electric,Electric,45313,354606,33,0.97,6.29,1.2,3,530
2019,9,China,X5,Sedan,Electric,40801,446343,118,0.97,6.29,1.2,2,716
2018,6,Brazil,X3,SUV,Petrol,49130,335291,200,0.97,6.29,1.2,9,533
2017,12,China,X5,SUV,Electric,49271,488744,356,0.97,6.29,1.2,3,967
2015,8,Germany,X3,SUV,Petrol,51075,127095,34,0.97,6.29,1.2,2,388
2020,7,Canada,i4,Sedan,Petrol,53984,294172,196,0.97,6.29,1.2,4,545
2016,9,UK,3 Series,SUV,Electric,95942,250003,297,0.97,6.29,1.2,2,892
2022,4,India,X7,Electric,Electric,47861,140925,125,0.97,6.29,1.2,1,669
2024,2,Brazil,iX,SUV,Diesel,117203,116381,347,0.97,6.29,1.2,6,926
2019,7,China,iX,Sedan,Diesel,106376,149468,375,0.97,6.29,1.2,10,749
2021,6,France,5 Series,SUV,Hybrid,96247,292330,46,0.97,6.29,1.2,8,136
2024,1,Germany,i7,SUV,Hybrid,104101,375893,291,0.97,6.29,1.2,10,727
2016,11,France,3 Series,Electric,Electric,55977,481888,146,0.97,6.29,1.2,10,600
2022,9,India,iX,SUV,Petrol,85617,63731,236,0.97,6.29,1.2,2,674
2016,9,Brazil,X5,Electric,Hybrid,92473,436791,329,0.97,6.29,1.2,9,935
2018,12,Germany,i7,Electric,Electric,107902,497728,337,0.97,6.29,1.2,3,719
2015,2,Brazil,3 Series,Sedan,Hybrid,50630,101024,191,0.97,6.29,1.2,8,780
2019,3,UK,X1,Electric,Petrol,55056,166712,371,0.97,6.29,1.2,8,913
2023,5,Australia,X1,Electric,Electric,42382,151121,95,0.97,6.29,1.2,3,465
2015,5,Germany,i7,Sedan,Petrol,90739,315976,62,0.97,6.29,1.2,3,527
2023,1,France,X3,Electric,Electric,116685,82332,357,0.97,6.29,1.2,6,900
2022,8,India,X3,Sedan,Hybrid,83639,62467,364,0.97,6.29,1.2,1,823
2020,12,Canada,X5,SUV,Diesel,94838,91025,244,0.97,6.29,1.2,4,560
2021,8,UK,3 Series,Sedan,Hybrid,81041,194179,276,0.97,6.29,1.2,1,636
2017,4,Australia,3 Series,Electric,Hybrid,35992,127994,296,0.97,6.29,1.2,3,907
2015,7,Canada,i7,Sedan,Diesel,107394,144202,109,0.97,6.29,1.2,9,224
2019,11,USA,7 Series,Electric,Diesel,102657,93481,96,0.97,6.29,1.2,5,186
2016,10,UK,X1,SUV,Electric,62160,445797,24,0.97,6.29,1.2,5,406
2019,3,India,3 Series,Sedan,Electric,80156,125118,110,0.97,6.29,1.2,4,455
2022,6,China,i7,SUV,Petrol,86375,436154,174,0.97,6.29,1.2,3,711
2023,10,Germany,i4,Electric,Petrol,54572,494854,38,0.97,6.29,1.2,5,253
2016,10,Brazil,5 Series,Electric,Hybrid,39136,173714,123,0.97,6.29,1.2,4,387
2017,12,India,i4,SUV,Diesel,96868,451634,116,0.97,6.29,1.2,8,455
2017,9,Germany,X7,Sedan,Petrol,117263,274699,373,0.97,6.29,1.2,4,880
2015,1,Canada,X5,Sedan,Hybrid,67167,210185,139,0.97,6.29,1.2,8,380
2022,5,Brazil,3 Series,Electric,Diesel,50479,134363,93,0.97,6.29,1.2,6,372
2020,4,Japan,X7,SUV,Electric,66376,435751,280,0.97,6.29,1.2,5,610
2022,8,France,iX,SUV,Hybrid,39823,375188,253,0.97,6.29,1.2,4,794
2023,11,USA,X7,Sedan,Electric,105456,261027,397,0.97,6.29,1.2,4,1130
2019,12,UK,i7,Sedan,Petrol,54585,323958,223,0.97,6.29,1.2,4,861
2017,1,India,3 Series,Sedan,Petrol,52272,411484,315,0.97,6.29,1.2,9,1036
2019,9,USA,5 Series,SUV,Diesel,61619,322168,175,0.97,6.29,1.2,4,606
2019,6,China,i7,Sedan,Hybrid,110069,244360,288,0.97,6.29,1.2,9,791
